Titulo,Órgão julgador,Data de aprovação,Situação,Ramo do direito,Enunciado
"Súmula 252","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","Na ação rescisória, não estão impedidos juízes que participaram do julgamento rescindendo."
"Súmula 251","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","Responde a Rêde Ferroviária Federal S.A. perante o fôro comum e não perante o juízo especial da Fazenda Nacional, a menos que a União intervenha na causa."
"Súmula 250","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","A intervenção da União desloca o processo do juízo cível comum para o fazendário."
"Súmula 249","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","É competente o Supremo Tribunal Federal para a ação rescisória, quando, embora não tendo conhecido do recurso extraordinário, ou havendo negado provimento ao agravo, tiver apreciado a questão federal controvertida."
"Súmula 247","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","O relator não admitirá os embargos da L. 623, de 19.2.49, nem deles conhecerá o Supremo Tribunal Federal, quando houver jurisprudência firme do Plenário no mesmo sentido da decisão embargada."
"Súmula 242","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","O agravo no auto do processo deve ser apreciado, no julgamento da apelação, ainda que o agravante não tenha apelado."
"Súmula 233","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","Salvo em caso de divergência qualificada (L. 623, de 1949), não cabe recurso de embargos contra decisão que nega provimento a agravo ou não conhece de recurso extraordinário, ainda que por maioria de votos."
"Súmula 231","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","O revel, em processo cível, pode produzir provas, desde que compareça em tempo oportuno."
"Súmula 228","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","Não é provisória a execução na pendência de recurso extraordinário, ou de agravo destinado a fazê-lo admitir."
"Súmula 226","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","Na ação de desquite, os alimentos são devidos desde a inicial e não da data da decisão que os concede."
"Súmula 218","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","É competente o Juízo da Fazenda Nacional da capital do Estado, e não o da situação da coisa, para a desapropriação promovida por emprêsa de energia elétrica, se a União Federal intervém como assistente."
"Súmula 216","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","Para decretação da absolvição de instância pela paralisação do processo por mais de trinta dias, é necessário que o autor, previamente intimado, não promova o andamento da causa."
"Súmula 211","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","Contra a decisão proferida sôbre o agravo no auto do processo, por ocasião do julgamento da apelação, não se admitem embargos infringentes ou de nulidade."
"Súmula 163","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","Salvo contra a Fazenda Pública, sendo a obrigação ilíquida, contam-se os juros moratórios desde a citação inicial para a ação."
"Súmula 150","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","Prescreve a execução no mesmo prazo de prescrição da ação."
"Súmula 72","Tribunal Pleno","13/12/1963","Aprovada","Processual Civil","No julgamento de questão constitucional, vinculada a decisão do Tribunal Superior Eleitoral, não estão impedidos os Ministros do Supremo Tribunal Federal que ali tenham funcionado no mesmo processo, ou no processo originário."
