Titulo,Órgão julgador,Data de aprovação,Situação,Ramo do direito,Enunciado
"Súmula 598","Tribunal Pleno","15/12/1976","Aprovada","Processual Civil","Nos embargos de divergência não servem como padrão de discordância os mesmos paradigmas invocados para demonstrá-la mas repelidos como não dissidentes no julgamento do recurso extraordinário."
"Súmula 597","Tribunal Pleno","15/12/1976","Aprovada","Processual Civil","Não cabem embargos infringentes de acórdão que, em mandado de segurança decidiu, por maioria de votos, a apelação."
"Súmula 557","Tribunal Pleno","15/12/1976","Aprovada","Processual Civil","É competente a Justiça Federal para julgar as causas em que são partes a COBAL e a CIBRAZEM."
"Súmula 556","Tribunal Pleno","15/12/1976","Aprovada","Processual Civil","É competente a Justiça comum para julgar as causas em que é parte sociedade de economia mista."
"Súmula 528","Tribunal Pleno","03/12/1969","Aprovada","Processual Civil","Se a decisão contiver partes autônomas, a admissão parcial, pelo Presidente do Tribunal a quo, de recurso extraordinário que, sôbre qualquer delas se manifestar, não limitará a apreciação de tôdas pelo Supremo Tribunal Federal, independentemente de interposição de agravo de instrumento."
"Súmula 527","Tribunal Pleno","03/12/1969","Aprovada","Processual Civil","Após a vigência do Ato Institucional nº 6, que deu nova redação ao art. 114, III, da Constituição Federal de 1967, não cabe recurso extraordinário das decisões do juiz singular."
"Súmula 519","Tribunal Pleno","03/12/1969","Aprovada","Processual Civil","Aplica-se aos executivos fiscais o princípio da sucumbência a que se refere o art. 64 do Código de Processo Civil."
"Súmula 518","Tribunal Pleno","03/12/1969","Aprovada","Processual Civil","A intervenção da União, em feito já julgado pela segunda instância e pendente de embargos, não desloca o processo para o Tribunal Federal de Recursos."
"Súmula 517","Tribunal Pleno","03/12/1969","Aprovada","Processual Civil","As sociedades de economia mista só têm fôro na Justiça Federal, quando a União intervém como assistente ou opoente."
"Súmula 516","Tribunal Pleno","03/12/1969","Aprovada","Processual Civil","O Serviço Social da Indústria - S. E. S. I. - está sujeito à jurisdição da Justiça Estadual."
"Súmula 515","Tribunal Pleno","03/12/1969","Aprovada","Processual Civil","A competência para a ação rescisória não é do Supremo Tribunal Federal, quando a questão federal, apreciada no recurso extraordinário ou no agravo de instrumento, seja diversa da que foi suscitada no pedido rescisório."
"Súmula 514","Tribunal Pleno","03/12/1969","Aprovada","Processual Civil","Admite-se ação rescisória contra sentença transitada em julgado, ainda que contra ela não se tenha esgotado todos os recursos."
"Súmula 513","Tribunal Pleno","03/12/1969","Aprovada","Processual Civil","A decisão que enseja a interposição de recurso ordinário ou extraordinário não é a do plenário, que resolve o incidente de inconstitucionalidade, mas a do órgão (Câmaras, Grupos ou Turmas) que completa o julgamento do feito."
"Súmula 512","Tribunal Pleno","03/12/1969","Aprovada","Processual Civil","Não cabe condenação em honorários de advogado na ação de mandado de segurança."
"Súmula 511","Tribunal Pleno","03/12/1969","Aprovada","Processual Civil","Compete à Justiça Federal, em ambas as instâncias, processar e julgar as causas entre autarquias federais e entidades públicas locais, inclusive mandados de segurança, ressalvada a ação fiscal, nos termos da Constituição Federal de 1967, art. 119, § 3º."
"Súmula 510","Tribunal Pleno","03/12/1969","Aprovada","Processual Civil","Praticado o ato por autoridade, no exercício de competência delegada, contra ela cabe o mandado de segurança ou a medida judicial."
"Súmula 509","Tribunal Pleno","03/12/1969","Aprovada","Processual Civil","A Lei nº 4.632, de 18.5.65, que alterou o art. 64 do Código de Processo Civil, aplica-se aos processos em andamento, nas instâncias ordinárias."
"Súmula 508","Tribunal Pleno","03/12/1969","Aprovada","Processual Civil","Compete à Justiça Estadual, em ambas as instâncias, processar e julgar as causas em que fôr parte o Banco do Brasil S. A."
"Súmula 507","Tribunal Pleno","03/12/1969","Aprovada","Processual Civil","A ampliação dos prazos a que se refere o art. 32 do Código de Processo Civil aplica-se aos executivos fiscais."
"Súmula 506","Tribunal Pleno","03/12/1969","Aprovada","Processual Civil","O agravo a que se refere o art. 4º da Lei nº 4.348, de 26.6.64, cabe, somente, do despacho do Presidente do Supremo Tribunal Federal que defere a suspensão da liminar, em mandado de segurança; não do que a denega."
"Súmula 505","Tribunal Pleno","03/12/1969","Aprovada","Processual Civil","Salvo quando contrariarem a Constituição, não cabe recurso para o Supremo Tribunal Federal, de quaisquer decisões da Justiça do Trabalho, inclusive dos presidentes de seus Tribunais."
"Súmula 504","Tribunal Pleno","03/12/1969","Aprovada","Processual Civil","Compete à Justiça Federal, em ambas as instâncias, o processo e o julgamento das causas fundadas em contrato de seguro marítimo."
"Súmula 503","Tribunal Pleno","03/12/1969","Aprovada","Processual Civil","A dúvida, suscitada por particular, sôbre o direito de tributar, manifestado por dois Estados, não configura litígio da competência originária do Supremo Tribunal Federal."
"Súmula 502","Tribunal Pleno","03/12/1969","Aprovada","Processual Civil","Na aplicação do art. 839 do C. Pr. Civ., com a redação da Lei nº 4.290, de 5.12.63, a relação valor da causa e salário mínimo vigente na Capital do Estado, ou do Território, para o efeito de alçada, deve ser considerada na data do ajuizamento do pedido."
"Súmula 500","Tribunal Pleno","03/12/1969","Aprovada","Processual Civil","Não cabe a ação cominatória para compelir-se o réu a cumprir obrigação de dar."
"Súmula 493","Tribunal Pleno","03/12/1969","Aprovada","Processual Civil","O valor da indenização, se consistente em prestações periódicas e sucessivas, compreenderá, para que se mantenha inalterável na sua fixação, parcelas compensatórias do impôsto de renda, incidente sôbre os juros do capital gravado ou caucionado, nos termos dos arts. 911 e 912 do Código de Processo Civil."
"Súmula 474","Tribunal Pleno","03/12/1969","Aprovada","Processual Civil","Não há direito líquido e certo, amparado pelo mandado de segurança, quando se escuda em lei cujos efeitos foram anulados por outra, declarada constitucional pelo Supremo Tribunal Federal."
"Súmula 472","Tribunal Pleno","01/10/1964","Aprovada","Processual Civil","A condenação do autor em honorários de advogado, com fundamento no art. 64 do C. P. C., depende de reconvenção."
"Súmula 456","Tribunal Pleno","01/10/1964","Aprovada","Processual Civil","O Supremo Tribunal Federal, conhecendo do recurso extraordinário, julgará a causa, aplicando o direito à espécie."
"Súmula 455","Tribunal Pleno","01/10/1964","Aprovada","Processual Civil","Da decisão que se seguir ao julgamento de constitucionalidade pelo Tribunal Pleno, são inadmissíveis embargos infringentes quanto à matéria constitucional."
"Súmula 454","Tribunal Pleno","01/10/1964","Aprovada","Processual Civil","Simples interpretação de cláusulas contratuais não dá lugar a recurso extraordinário."
"Súmula 450","Tribunal Pleno","01/10/1964","Aprovada","Processual Civil","São devidos honorários de advogado sempre que vencedor o beneficiário de justiça gratuita."
"Súmula 449","Tribunal Pleno","01/10/1964","Aprovada","Processual Civil","O valor da causa, na consignatória de aluguel, corresponde a uma anuidade."
"Súmula 430","Tribunal Pleno","01/06/1964","Aprovada","Processual Civil","Pedido de reconsideração na via administrativa não interrompe o prazo para o mandado de segurança."
"Súmula 429","Tribunal Pleno","01/06/1964","Aprovada","Processual Civil","A existência de recurso administrativo com efeito suspensivo não impede o uso do mandado de segurança contra omissão da autoridade."
"Súmula 428","Tribunal Pleno","01/06/1964","Aprovada","Processual Civil","Não fica prejudicada a apelação entregue em cartório no prazo legal, embora despachada tardiamente."
"Súmula 427","Tribunal Pleno","01/06/1964","Aprovada","Processual Civil","A falta de petição de interposição não prejudica o agravo no auto do processo tomado por têrmo."
"Súmula 426","Tribunal Pleno","01/06/1964","Aprovada","Processual Civil","A falta do termo específico não prejudica o agravo no auto do processo, quando oportuna a interposição por petição ou no têrmo da audiência."
"Súmula 425","Tribunal Pleno","01/06/1964","Aprovada","Processual Civil","O agravo despachado no prazo legal não fica prejudicado pela demora da juntada, por culpa do cartório; nem o agravo entregue em cartório no prazo legal, embora despachado tardiamente."
"Súmula 424","Tribunal Pleno","01/06/1964","Aprovada","Processual Civil","Transita em julgado o despacho saneador de que não houve recurso, excluídas as questões deixadas, explícita ou implicitamente, para a sentença."
